Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1.0978E+18,Ted Mosby would be proud #artlesson#buildabridge#HowImetyourmother https://t.co/4AFbcXsWwM,Lissy_SA,Lissy48839749,Tue Feb 19 10:03:09 +0000 2019,0,0,English,Twitter for iPhone,Tweet,Photo,0,0,0
1.09784E+18,the woo girls would love martha’s hat @MarriedAU #MAFSAU #HowIMetYourMother https://t.co/Lo565o31mQ,Bells,bellschan1,Tue Feb 19 12:46:46 +0000 2019,1,0,English,Twitter Web App,Tweet,Photo,0,2,1
1.09788E+18,Watching #HowIMetYourMother Season One Yup It's A Refill ??,Just TrustKhan,JustTrustKhan,Tue Feb 19 15:34:35 +0000 2019,1,0,English,Twitter for Android,Tweet,,0,1,0
1.09791E+18,The bang ?? #himym #howimetyourmother https://t.co/bYZ4RJVYFH,Sergio Mauricio,sergimaurilea,Tue Feb 19 17:38:33 +0000 2019,0,0,English,Twitter for Android,Retweet,Photo,0,2,0
1.09792E+18,"Uh-oh.

Did you watch Cobie Smulders's latest project? What did you think of it? 

#HIMYM #HowIMetYourMother 

https://t.co/4GnCfdhQL6","Hey, Beautiful! A HIMYM Podcast",heybeautifulpod,Tue Feb 19 17:58:16 +0000 2019,1,0,English,Twitter Web Client,Tweet,,1,2,0
1.09792E+18,"© Barney

#HowIMetYourMother https://t.co/kcngPPmLfH",Insømnia,JustShootInMe,Tue Feb 19 17:59:36 +0000 2019,2,0,English,Twitter for Android,Tweet,Photo,0,1,0
1.09795E+18,"Baby Gill, Dan &amp; friends, Bombay, 1989. First known photo together. Relationship status: single and also single. #howIMetYourMother https://t.co/IqvoDA7Bce",Conspicuous Dan Sumption????????,dansumption,Tue Feb 19 19:59:48 +0000 2019,9,0,English,IFTTT,Tweet,Photo,0,1,0
1.09795E+18,"What to #Netflix , #howimetyourmother or #friends.",Joseph,jmandersonllb,Tue Feb 19 20:03:08 +0000 2019,0,0,English,Twitter for Android,Tweet,,0,3,0
1.09795E+18,"@StellaOttewill I prefer #Howimetyourmother, Never found anything funny about #Friends,",Master T.,TheGrandMasterT,Tue Feb 19 20:10:04 +0000 2019,0,0,English,TweetDeck,Reply,,0,2,1
1.09795E+18,@TheGrandMasterT #HowIMetYourMother is a poor man’s #Friends. Particularly that unforgivable last season! But these days I would take #ModernFamily over both.,Stella,StellaOttewill,Tue Feb 19 20:22:52 +0000 2019,0,0,English,Twitter for iPhone,Reply,,0,3,1
1.0985E+18,Best episode ever for that stupid dumbass whore Lily finally got her just deserts! You try to make fun of Ted but look at mirror you jelaous kindergarten dwarf be a little intellectual!!      #RobotsVersusWrestlers #HowIMetYourMother,asirisinirlibiri,asirisinirli1i,Thu Feb 21 08:46:42 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,2,0
1.09853E+18,Bastard @laurentiu009 @mohmmedalfarisi #howimetyourmother,Angel Bailey,deaccarodag,Thu Feb 21 10:45:32 +0000 2019,0,0,English,Twitter Web App,Tweet,,0,1,2
1.09855E+18,"I need someone like “Barney Stinson” in my life, suit up #howimetyourmother",rexabraham,IHuti,Thu Feb 21 11:29:40 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,0,1,0
1.09856E+18,NEXT WEEK! Book for our first #howimetyourmother quiz at @abelheywoodnq its looking busy! Book here: https://t.co/S2uwE7OVxH #quiz #mcr https://t.co/h3sEIzD4T5,Quizzly Bears,QuizzlyBears,Thu Feb 21 12:28:09 +0000 2019,1,2,English,Twitter for iPhone,Tweet,GIF,1,3,1
1.09858E+18,"And now I'm becoming like Nora. Being frank about what she wants in life and choose to just say it eventhough it may scares people off, before things get serious and wasting her time. #toomuchHIMYM #HowIMetYourMother",Haslinda A.A,Aed_linda,Thu Feb 21 13:34:15 +0000 2019,0,0,English,Twitter for Android,Tweet,,0,2,0
1.09859E+18,Well that was smooth. #howimetyourmother ?????? https://t.co/lNwE9lmkdR,Samuel Sam,YaBoy_Samm,Thu Feb 21 14:29:10 +0000 2019,0,0,English,Twitter for iPhone,Tweet,Photo,0,1,0
1.0986E+18,I really wanted Barney and Nora to be end game ?? #HowIMetYourMother #HIMYM,.,lifeofmariamxxx,Thu Feb 21 14:56:40 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,0,2,0
1.0986E+18,Me Meeting Actress &amp; Director Catherine Reitman reitcatou #CatherineReitman #WorkinMoms #HowIMetYourMother https://t.co/ZHl3v6VOZn,Dave (David) Olmann AKA Big Dave,BigTymers228,Thu Feb 21 15:23:00 +0000 2019,0,0,English,Instagram,Tweet,,1,3,0
1.09865E+18,"Do you get this? Comment YES if you do ! 
 
#gots8 #howimetyourmother #darkhumor #funnymeme #gotmeme #twins #houselannister #jamielannister #lannisterchildren #cerceilannister https://t.co/2Qn3FBmShe",De Montfort Literature,DeMontfortLit,Thu Feb 21 18:23:02 +0000 2019,4,0,English,Buffer,Tweet,Photo,0,10,0
1.09867E+18,"You'll appreciate this clip if you've watched How I Met Your Mother and A Series of Unfortunate Events (the TV series) ??????

@OfficialHIMYM
@Unfortunate
#HowIMetYourMother #ASeriesOfUnfortunateEvents #GrandpaOlaf #CountOlaf https://t.co/NVOc7nxeGQ",Chizzy Ndukwe N,tukobos,Thu Feb 21 19:54:37 +0000 2019,0,0,English,Twitter for Android,Tweet,Video,0,4,2
1.09869E+18,"Ted is just so lovable ??
#howimetyourmother #netflix",???????? ????????????,_herzle,Thu Feb 21 20:58:34 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,2,0
1.09871E+18,I finished #HowIMetYourMother a few days ago. And I can't get over it. So I started watching from the beginning.,Blue ??,CichockaKasia,Thu Feb 21 22:14:15 +0000 2019,2,0,English,Twitter for Android,Tweet,,0,1,0
1.09874E+18,The moment where #TedMosby and #BarneyStinson were laughing about #beavers in front of #RobinScherbatsky.  #NoArgumentsHere  #HowIMetYourMother https://t.co/xdRbF4Zve0,jb9180 Social Media Host Revolution,jb9180SMHR,Fri Feb 22 00:14:59 +0000 2019,1,0,English,Twitter Web Client,Tweet,Video,0,6,0
1.09885E+18,@JDubbTV I’m definitely the Reacher in this relationship. (#HowIMetYourMother),Jeff Braddock,Braddock512,Fri Feb 22 07:23:03 +0000 2019,1,0,English,Twitter for iPhone,Reply,,0,1,1
1.0989E+18,@ProSolveProduct It sounds like a good one doesn't it? ?? #howimetyourmother @friends #BigBangTheory,TakeAIM,TakeAIM_APP,Fri Feb 22 10:54:34 +0000 2019,1,0,English,Twitter Web Client,Reply,,0,2,2
1.09896E+18,Anybody else wish the #howimetyourmother episode where Robin tells Kevin about how the group texts while on the can was made in a time when emojis were a thing...,Cutalka,cutalka22,Fri Feb 22 15:10:04 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,1,0
1.09898E+18,"Just finished #howimetyourmother and am not sure how I feel about the ending , am kind of angry that they kill the mom but I kind understand Robin’s part #sitcom",A.Q,EmyleeMohammed,Fri Feb 22 16:17:57 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,2,0
1.09898E+18,"Am a believer that you can’t just stop loving somebody no mater how much you want to do so. Thus , I got way Ted kept Robin in his life even when she wasn’t falling for him #howimetyourmother .",A.Q,EmyleeMohammed,Fri Feb 22 16:19:49 +0000 2019,0,1,English,Twitter for iPhone,Tweet,,0,1,0
1.09899E+18,"Hey, it's Kyle MacLachlan's birthday! 

Your portrayal of The Captain was legendary - may your upcoming year be the same. Wishing you calm seas and fair winds ahead! 

(Makes so much sense that he's a Pisces ??)

#HIMYM #HowIMetYourMother @Kyle_MacLachlan https://t.co/JPbLswGk2C","Hey, Beautiful! A HIMYM Podcast",heybeautifulpod,Fri Feb 22 16:44:22 +0000 2019,28,1,English,Twitter Web Client,Tweet,GIF,0,2,1
1.09899E+18,"Our new episode will be out tomorrow!

But if you're a patron, you could be listening...right now. 

$2/month gets you in! 

#HIMYM #howimetyourmother 

https://t.co/kcu5W7K417","Hey, Beautiful! A HIMYM Podcast",heybeautifulpod,Fri Feb 22 17:03:41 +0000 2019,4,1,English,Twitter Web Client,Tweet,,1,2,0
1.09904E+18,"“They’re actually called British Morning Socks” 

No they’re not, Ted. You’re just a pretentious douche. There’s no such thing. 

#HIMYM #howimetyourmother",Sean’s Storybook,seansstorybook,Fri Feb 22 20:13:19 +0000 2019,3,0,English,Twitter for iPhone,Tweet,,0,2,0
1.09998E+18,"Finding out Barney Stinson is gay in real life is worst than the time I found out wrestling is fake.

#howimetyourmother",nineteen96?,nineteen__96,Mon Feb 25 10:43:30 +0000 2019,2,0,English,Twitter for Android,Tweet,,0,1,0
1.10001E+18,@Gorge_Biaban @jahangard4 [#Tedmosbey 's mother on #howimetyourmother S1 E18] Nothing good happend after 2 AM!!,????mEhd!.J??,m3hdi3,Mon Feb 25 12:39:48 +0000 2019,2,0,English,Twitter Web App,Reply,,0,2,2
1.10003E+18,"Any HIMYM fans and fams there ? ??
#Himym #howimetyourmother #mobile #Oscars 

@OfficialHIMYM @JoshRadnor @CobieSmulders @alydenisof @ActuallyNPH https://t.co/mz7rhwQeK8",SMiiCEY,SMiiCEYSmiles,Mon Feb 25 13:37:42 +0000 2019,0,0,English,Twitter for Android,Tweet,Photo,0,4,5
1.10004E+18,"So you’ve got the morning, I’ve got midnight 
You are patient, I’m always on time 
Oh…what would I do without you?
You’ve got your sunshine, I’ve got rainclouds 
You’ve got hope, I’ve got my doubts 

Oh…what would I do without you? 

#HIMYM #HowIMetYourMother https://t.co/WgqNzTCFrL",Robin Scherbatsky ??,ohmyrob2,Mon Feb 25 14:14:30 +0000 2019,2,0,English,Twitter for Android,Tweet,Photo,0,2,0
1.10004E+18,"• suit up!

#illustration #painting #digitalpainting  #drawingoftheday #artdiscover #illustrationartist #illustrate #creativeart #art_spotlight #artwork #art #photoshop #wacom #adobe #creativecloud #creative #howimetyourmother #himym #barneystinson #barney #iwantyou #unclesam https://t.co/W1fy4HI1Mu",Eduardo Hilário,hilario_psd,Mon Feb 25 14:47:58 +0000 2019,2,0,English,Twitter for Android,Tweet,Photo,0,22,0
1.10005E+18,"just drew @CobieSmulders or shall I say #Robin_Sherbatsky 
#HowIMetYourMother https://t.co/ghhB6xoqSc",Arwa ||-//,ArwalovesTop,Mon Feb 25 15:23:07 +0000 2019,1,0,English,Twitter Web App,Tweet,Photo,0,2,1
1.1001E+18,"happy birthday to alyson's husband and actor # @AlexisDenisof !! ???? ????
@alydenisof #alysonhannigan

#himym #howimetyourmother #lilyaldrin #btvs #buffythevampireslayer #willowrosenberg #americanpie https://t.co/euHfFwkBhd",alyson hannigan is bae ??,alysonhanniganf,Mon Feb 25 18:44:28 +0000 2019,8,1,English,Twitter for iPhone,Tweet,Photo,0,8,2
1.10012E+18,"happy birthday to alyson's husband and actor # @AlexisDenisof !! ???? ????
@alydenisof #alysonhannigan

#himym #howimetyourmother #lilyaldrin #btvs #buffythevampireslayer #willowrosenberg #americanpie https://t.co/euHfFwkBhd",Mlle Gabrielle,MlleGCC,Mon Feb 25 19:44:37 +0000 2019,0,0,English,Twitter for Android,Retweet,Photo,0,8,2
1.10014E+18,NEXT WEEK! Book for our first #howimetyourmother quiz at @abelheywoodnq its looking busy! Book here: https://t.co/S2uwE7OVxH #quiz #mcr https://t.co/h3sEIzD4T5,Abel Heywood,abelheywoodnq,Mon Feb 25 21:01:53 +0000 2019,0,0,English,Twitter Web Client,Retweet,GIF,1,3,1
1.10016E+18,"I just finished watching #HowIMetYourMother and I liked it so much but, woah! I didn’t really like how it ended :,) idk",F?toosh,fxdashtii,Mon Feb 25 22:36:59 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10023E+18,"Cobie Smulders is coming to Vancouver this March to star in ABC pilot #Stumptown. 
 Remember her Canadian popstar character Robin Sparkles on #HowIMetYourMother?
??https://t.co/IzLq071Wvs @cobiesmulders https://t.co/JA0isAcH6q",YVRShoots,yvrshoots,Tue Feb 26 03:05:20 +0000 2019,21,3,English,Twitter Web Client,Tweet,GIF,1,2,1
1.10023E+18,"Cobie Smulders is coming to Vancouver this March to star in ABC pilot #Stumptown. 
 Remember her Canadian popstar character Robin Sparkles on #HowIMetYourMother?
??https://t.co/IzLq071Wvs @cobiesmulders https://t.co/JA0isAcH6q",Paloma Lockhart ?? LUPA ??????,GRACEamaFRANKIE,Tue Feb 26 03:05:56 +0000 2019,0,0,English,Twitter for Android,Retweet,GIF,1,2,1
1.10023E+18,"Cobie Smulders is coming to Vancouver this March to star in ABC pilot #Stumptown. 
 Remember her Canadian popstar character Robin Sparkles on #HowIMetYourMother?
??https://t.co/IzLq071Wvs @cobiesmulders https://t.co/JA0isAcH6q",Elmo ????,siriuslyelmo,Tue Feb 26 03:12:41 +0000 2019,0,0,English,Twitter for Android,Retweet,GIF,1,2,1
1.10023E+18,Watching #howimetyourmother again. Watched the episode about marshals dads last words. My dads last words were “Did you bring me any pie?” My dad was so hungry because the hospital wouldn’t let him eat. He asked us all for food. ??,Brye ????,dwtshough,Tue Feb 26 03:15:47 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10024E+18,Rewatching #HowIMetYourMother and I completely forgot how I’m a little bit in love with Ted.,Chantelle-Louise,Chanterzzz,Tue Feb 26 03:27:11 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10029E+18,Very apt programme to listen to on my way to hospital for a night shift! Truly fascinating research involved - do have a listen everyone! P.s. @umairh I particularly loved how the doctor-to-be who diagnosed you became your wife! #cute #howimetyourmother @BBCRadio4 https://t.co/UVRvKa0Mb7,Aaniya Ahmed,aaniyaa29,Tue Feb 26 07:14:26 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,1,2,2
1.10031E+18,Im— howimetyourmother who? https://t.co/YvmeM4r19R,Liiquor duct,kryptwhitetees,Tue Feb 26 08:37:22 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,1,0,0
1.10035E+18,NEXT WEEK! Book for our first #howimetyourmother quiz at @abelheywoodnq its looking busy! Book here: https://t.co/S2uwE7OVxH #quiz #mcr https://t.co/h3sEIzD4T5,Hydes Brewery,HydesBrewery,Tue Feb 26 11:13:02 +0000 2019,0,0,English,Twitter Web Client,Retweet,GIF,1,3,1
1.10037E+18,"He’s 
Legen...wait for it...dary
Legendary ??. 

#Legendary #howimetyourmother #Netflix https://t.co/ipdOqJAW9f",sam ??,samuel_movtv,Tue Feb 26 12:29:09 +0000 2019,2,1,English,Twitter for iPhone,Reply,Photo,0,3,0
1.1004E+18,@AnniTheDuck I See what you did here #HowIMetYourMother,??Lev??,TheRealLevyus,Tue Feb 26 14:03:43 +0000 2019,2,0,English,Twitter for Android,Reply,,0,1,1
1.10043E+18,These Shrimp Tacos from @pocamex1 are the perfect way to kick off your Tuesday! Try it today for lunch or snag some to share with your #trivia team at our #HowIMetYourMother themed trivia game tonight at 7PM! https://t.co/McewbcakSk,Ohio City Galley,OhioCityGalley,Tue Feb 26 16:01:09 +0000 2019,0,0,English,Hootsuite Inc.,Tweet,Photo,0,2,1
1.10043E+18,"@jbeda @GlennF I was in 8th grade when that movie came out.  Throughout all of highschool (93-97), I thought adulthood would be just like Singles.  But, adulthood didn't start for another 10 years, which by then it was more #howimetyourmother and #sexandt",Andre Preoteasa,AndrePreoteasa,Tue Feb 26 16:24:42 +0000 2019,1,0,English,Twitter Web Client,Reply,,0,2,2
1.10044E+18,She was hot in #HowIMetYourMother...#Robin https://t.co/HNCaBC1OH5,Naag,nagarajsana,Tue Feb 26 16:46:06 +0000 2019,0,0,English,Twitter for Android,Tweet,,1,2,0
1.10044E+18,"@MGnPpodcast Isaac used to watch Lost. I'll ask him about that. But speaking of shows with TERRIBLE endings... That was #HowIMetYourMother for us BUT the ending didn't make us hate the show. Overall, that show was still bingeable.",The Bingeables Podcast,bingeablespod,Tue Feb 26 17:11:40 +0000 2019,2,0,English,Twitter Web Client,Reply,,0,1,1
1.10048E+18,Je rattrape mon retard ! How I Met Your Mother - S08 | E20 sur TV Time https://t.co/LXhIsrPnzh #howimetyourmother,GrG,grg1804,Tue Feb 26 19:27:51 +0000 2019,0,0,English,Twitter for Android,Tweet,,1,1,0
1.10048E+18,i really thought Stella was their mother #howimetyourmother,selcouth,evmaa,Tue Feb 26 19:47:38 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10048E+18,"I want to start season 9 SO BAD but I also have to study and I know that I won't if I do that + IF I FINISH THE SERIES MY LIFE WILL BE OVER I CAN'T

#howimetyourmother",?Ylenia loves her Kookie?,artaholic_jjk,Tue Feb 26 19:50:51 +0000 2019,0,0,English,Twitter for Android,Tweet,,0,1,0
1.10051E+18,nearly managed to watch HIMYM all the way through again. what a show!! #himym #howimetyourmother https://t.co/Ejlcttk52Z,Ruairidh McMillan,roorj6,Tue Feb 26 21:19:32 +0000 2019,0,0,English,Twitter for iPhone,Tweet,Photo,0,2,0
1.10055E+18,Article 1: Bros before Hoes!  #TheBroCode  #BarneyStinson  #HowIMetYourMother https://t.co/kGtRETXQfG,jb9180 Social Media Host Revolution,jb9180SMHR,Wed Feb 27 00:13:12 +0000 2019,0,0,English,Twitter Web Client,Tweet,Photo,0,3,0
1.10055E+18,"Marshall: Go back in there! 
Barney: You're wearing a suit! (Ted walks back toward the door) 
#Robin: (from window) Ted? 
#Ted: Hi! (Silence) I was just uh- (hold up Smurf penis, aka French Horn) 
Robin: Come on up.
#HowIMetYourMother #HIMYM #1x01 #TedandRobin #RobinandTed https://t.co/EWI0PpPHuU",SarahG XOXO,sarahg170194,Wed Feb 27 00:17:29 +0000 2019,0,0,English,Twitter for Android,Retweet,Photo,0,7,0
1.10058E+18,Always remember to never pass up on any opportunity. You don’t want to become ‘The Blitz’! #HowIMetYourMother #HIMYM #theblitz @OfficialHIMYM,Abel Alejandro,AbelAlejandro23,Wed Feb 27 02:03:34 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,3,1
1.10063E+18,"Ok, let’s do this...
#Friends 
#HowIMetYourMother",??,B52_96_,Wed Feb 27 05:15:32 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,2,0
1.10063E+18,Barney was my favorite on How I met your Mother! I want a reunion! #Howimetyourmother,Miss can't do wrong,missmuffet79,Wed Feb 27 05:52:03 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10076E+18,#LilyAldrin should've been a goalie!  #HowIMetYourMother https://t.co/Wfd8h5AfHk,jb9180 Social Media Host Revolution,jb9180SMHR,Wed Feb 27 14:22:40 +0000 2019,1,0,English,Twitter Web Client,Tweet,GIF,0,2,0
1.10076E+18,#RobinScherbatsky vows to give #LilyAldrin #SummerTeeth!  #SummerHere  #SummerThere  #HowIMetYourMother https://t.co/iA8cmKuJgR,jb9180 Social Media Host Revolution,jb9180SMHR,Wed Feb 27 14:23:54 +0000 2019,1,0,English,Twitter Web Client,Tweet,GIF,0,6,0
1.10078E+18,"•´¯`•» Ted Mosby//#howimetyourmother 

[my career and love life are heading nowhere!] https://t.co/KS8vMHqRNO",t,feelsoangry,Wed Feb 27 15:21:50 +0000 2019,5,0,English,Twitter for Android,Reply,Video,0,1,0
1.10078E+18,"•´¯`•» Robin Scherbatsky//#howimetyourmother 

[the best i can give you is a fake smile and dead eyes.] https://t.co/MMDuvjP61e",t,feelsoangry,Wed Feb 27 15:29:36 +0000 2019,6,0,English,Twitter for Android,Reply,Video,0,1,0
